In,Out,Duration,Text,Speaker,Status
00:45:09.920,00:48:07.199,00:02:57.279,"'I mean that's the tip of the iceberg, and so as a result of that, and if you get a letter before action, even in a libel claim, you invariably get a privacy claim and a data claim at the same time, and they are sort of interchangeable, I mean if you think fun boss. For the Grand Prix racing and he decided to entertain four or five prostitutes in a Chelsea basement and one of the prostitues had what's well that well-known news gathering article a bra cam and she sold the story to News of the World and they publish it all over the front page. He sued for libel in Germany, and he sued for invasion of privacy in the UK. His libel theory was, because the News of the World's headline was Nazi orgy, and so basically his theory was that this was a commonel garden British orgy. And he was entitled to the extra diminution in value and loss of reputation for it actually being wrongly identified as a Nazi orgy. So if we just said on the headline, good British orgy in Chelsea, presumably he wouldn't have got any libel damages. Anyway, he won his privacy case and set the bar for damages at about 60,000 then, but they've gone way up from there. There's no jury, they're all being set by judges, and judges are finding very fact-specifically ways of getting at higher awards. So they're starting to break down the wrongs, the torts. They're starting say, well, you effectively looked at somebody's private material on several different occasions, so I'm gonna give you the maximum award each time, so we're gonna total them up. Okay, well, they went into your phone records, we'll give you 50,000 every time they did it. So four or six times they did, that starts to get to be a meaningful, sensible number. And part of that, I think, is a sort of policy decision that the judges are making, is to exhibit their distaste at what some of the less classy ends of the English media have been up to. It does seem that.",Mark,not-edited
00:48:08.330,00:48:22.040,00:00:13.710,English law and European law. Presents a greater degree of subjectivity and lodges it in the judge than American law on news gathering and I'd say privacy.,John,not-edited
00:48:22.940,00:48:23.600,00:00:00.660,Defamation as well.,Stuart,not-edited
00:48:23.880,00:50:18.829,00:01:54.949,"And, yes, and definitely. Yeah, and I think part of that is, of course, we have to remember that although we bequeath the legal system to you, we don't have a constitution. You have a Constitution, you have a Bill of Rights, all of which are meaningful and have an effect on the way in which your law is interpreted and actually allows people. To speak openly and freely and all the rest of it. And we have this rather peculiar situation where we've never thought that people should have the right to speak freely and so our libel laws are very claimant friendly. They're, even now, I would think 90% of cases are run, won by claimants. So it really is, I mean that's why it's called the libel capital of the world because you basically have to be a moron in a hurry to lose a case there. And then of course what's happened is as we've joined the EU and also we signed up to the European Convention on Human Rights, increasingly these continental notions and the case law from the continent about privacy have come forward. So. You know, the sort of ideas that sort of emerge from France, but many of the other countries where the president can have four or five mistresses, but not a single newspaper will report it because of their privacy laws. Those kinds of laws are coming in, you know up our rivers into our estuaries and into the streams. And that really is affecting the way in which the legal system. Is responding to claims and the problems of what are perceived as invasions by the media.",Mark,not-edited
00:50:20.850,00:50:29.010,00:00:08.160,"So sort of our time is done. But does anybody have any questions, comments? Anyone want to assault Mark? He's good at it. He's robust. He can take it.",Stuart,not-edited
00:50:36.210,00:51:08.210,00:00:32.000,"Yeah, thanks for being brave. Sure, I'm just hoping you or any of you would speak a little more about the extra territoriality of these judgments, because it's not just France, but there's also Canada, British Columbia court issued an order against Google to take something down. In Australia this month, I think, did the same of removing a defamation link. You're sort of seeing the Commonwealth countries draw ranks to punch holes in Google. And to me, it just doesn't seem good, but where is this gonna end and what next?",Speaker 6,not-edited
00:51:08.720,00:54:48.730,00:03:40.010,"I think it's a very pertinent question and I'm glad you asked it, thank you. What I do is I start off by looking at what would we be doing if this was a company selling widgets or undertaking some business abroad and you look at whether they've got a business in the country that you're doing business in. Are they selling products there? What is the structure that you're looking at? And invariably, it's difficult to get jurisdiction over somebody who's not there or jurisdiction over somebody who is it's merely a subsidiary. And what the continentals are doing particularly is attacking these tech companies through their subsidiaries. I think is just jurisprudentially wrong, but it is what they're doing. And I think it's setting very bad precedents because there are, when you play this back the other way, so let's say Iran decides to start making judgments against or take something somewhere that's slightly less controversial, Turkey, which has a big sort of clothes industry and other kinds of industry, you start playing those back the way and you want to have proceedings brought, but you have deliberately set up a subsidiary in Turkey, which has very limited scope. All the decisions are actually made back in London or New York, it doesn't much matter. Then in those circumstances, that corporate structure should be respected. The laws the world over have been designed to respect that corporate structures. And what we've got here is a situation where they're not respecting the corporate structure and I think that is the problem. They're not playing by the rules anymore and that's going to set really bad precedence in just trade areas, irrespective of the ICT parts of it. And I think they're looking at saying, well, you know, these people can effectively broadcast into our jurisdictions or they can communicate into our jurisdiction and Therefore, we should be able to do something about that. Just take that one stage further. You know, the Turks don't like it if you say rude things about Atatürk. You know he's a national symbol. And effectively, they've attacked YouTube and other online spaces where those individuals have said things about Ataturk which are not entirely praising. And I think we're starting to erode at this notion of individual rights and all the rest of it. And that's why I made the point. In Spain, it was an advertising sales office. That's all it did. The data wasn't even held in Ireland. There was no data held in Spain. No executive, no employee had the power to do anything in Spain and it's only people at the head office in California that have the power to do everything. So what is happening is that there is an abuse. The legal construct that we have devised for centuries of the corporation.",Mark,not-edited
00:54:49.320,00:55:07.079,00:00:17.759,And that those countries were fully participant in. They wanted to get the local office because they wanted people to basically advertise. They wanted people market globally. And so what they're doing is they're sacrificing that participation potentially at the altar of this fetishization of these issues. There's nothing about this that's inaccurate.,Stuart,edited
00:55:07.720,00:55:29.739,00:00:22.019,"It's a question of whether it's been around too long. And to elevate that over the ability to participate in a global technology economy and there are probably other reasons for this as well. But that's what they're doing. And the question is, at what point does the cost get so high for the Googles that they simply say, you come to California and contract with us, because we're not going to bother. We're not going have Google France. Or Google France will actually be run out of servers in California. You can do that easily enough.",Stuart,edited
00:55:29.920,00:55:43.140,00:00:13.220,"'Yeah, I think that's right, and I mean, I mean I think it is important to say that, you know, the right-to-be-forgotten stuff applies to honest, truthful information. Never forget them, never forget them.",Mark,not-edited
00:55:43.270,00:55:43.570,00:00:00.300,Yeah.,Stuart,not-edited
00:55:44.100,00:55:53.479,00:00:09.379,"And the advertisement was a statutory form advertisement required to be put in by legislation in Spain. Sorry, yes.",Mark,not-edited
00:55:54.980,00:56:22.139,00:00:27.159,"Hi, I'm another Brit in the room. You talked about it briefly earlier. You've obviously got this tension now between undercover reporting and this public interest test, and then the idea of trespass. I was wondering if you think you're going to start seeing public interest coming in as almost an excuse to trespass in these situations, and whether you could then see that extending to things like theft and surveillance in terms of voicemails and phone hacking.",Speaker 7,not-edited
00:56:23.450,00:58:39.160,00:02:15.710,"That's a very good question. In fact, I had a case over the last six weeks where the target went to criminal lawyers to advise. And what they did was that they laid a trap. So, when the journalists went round to the office... By appointment to interview senior executives for the article, they had slipped onto the signing in book key documents which were relevant to the story. And we managed to get hold of the video footage of them actually putting them there. And of course the journalist did what any of your journalists would do was picked them up and took them off to read them. There was no intention to permanently deprive, no intention steal them, but obviously want to take them away, look at them more carefully. And so what they were trying to do was then prosecute and criminalize the journalists through theft. And that was what the game, the game that that was afoot. So we are seeing people really starting to push the boundaries on these things and attack in a very aggressive way. The news gathering side of things. But I think we are going to see increasing problems with news gathering. Because of course when, as it is the case in Australia at the moment, they don't have privacy laws like we have, like the UK used to be before the continentals infected us with their privacy. Then in those circumstances, you can still do long lens photography, you can still... Pat people, you can still do all of that stuff there. And that, I think, is quite an interesting tension because you're gonna find this patchwork around the world when some countries where you can do these things and some countries when you can't. And what do you do when you cross borders with the images and the information?",Mark,not-edited
00:58:43.750,00:59:00.389,00:00:16.639,"So I think that concludes it for the evening, but if we can all give a round of applause to our three speakers this evening. Thank you so much, and especially to Mark. Thank you for coming to visit us tonight, and we hope you all stick around for the reception in the back of the room.",Speaker 8,not-edited
